DRUG,BASECONDITION,SYMPTOM,HISTORY,CO_MORBIDITY,TARGET_GROUP,text
Clozapine,Schizophrenia,suicidal behavior,standard antipsychotics ,,,Clozapine is indicated for the treatment of severely ill patients with schizophrenia who fail to respond adequately to standard antipsychotic treatment
Clonidine,severe pain,Neuropathic Pain ,opioid analgesic,cancer,,Clonidine hydrochloride injection is indicated in combination with opiates for the treatment of severe pain in cancer patients that is not adequately relieved by opioid analgesics alone
Celecoxib,Acute pain,,,,adults,For the management of acute pain in adults
Donepezil,Alzheimer's disease,,,,,ARICEPT® is indicated for the treatment of dementia of the Alzheimer's type.
Busiprone,Anxiety,,,,,Buspirone hydrochloride tablets are indicated for the management of anxiety disorders or the short-term relief of the symptoms of anxiety. Anxiety or tension associated with the stress of everyday life usually does not require treatment with an anxiolytic.
Lithium Carbonate,Bipolar Disorder,Manic Episode,,,,Lithium Carbonate Extended-Release Tablets USP are indicated in the treatment of manic episodes of Bipolar Disorder.
Memantine,Alzheimer's disease,"{'severe dementia', 'moderate dementia'}",,,,Memantine hydrochloride oral solution is indicated for the treatment of moderate to severe dementia of the Alzheimer's type.
Clonazepam,"{'myoclonic seizures', 'akinetic seizures', 'Lennox-Gastaut Syndrome'}",,,,,"Clonazepam is useful alone or as an adjunct in the treatment of the Lennox-Gastaut syndrome (petit mal variant), akinetic and myoclonic seizures."
Clonazepam,Panic Disorder,,,,,"Clonazepam is indicated for the treatment of panic disorder, with or without agoraphobia, as defined in DSM-IV"
Venlafaxine,Major Depressive Disorder,,,,,"Venlafaxine tablets, USP are indicated for the treatment of major depressive disorder."
Erenumab,Migraine,,,,adults,AIMOVIG is indicated for the preventive treatment of migraine in adults.
Cyclobenzaprine,muscle spasm,"{'tenderness', 'Pain', 'limitation of motion'}",,,,"AMRIX® (cyclobenzaprine hydrochloride extended-release capsules) is indicated as an adjunct to rest and physical therapy for relief of muscle spasm associated with acute, painful musculoskeletal conditions."
Amphetamine,Narcolepsy,,,,,"Amphetamine sulfate tablets, USP 5 mg and 10 mg are indicated for: Narcolepsy"
Amphetamine,ADHD,,,,,"Amphetamine sulfate tablets, USP 5 mg and 10 mg are indicated for: Attention Deficit Disorder with Hyperactivity as an integral part of a total treatment program which typically includes other remedial measures (psychological, educational, social) for a stabilizing effect in children with behavioral syndrome characterized by the following group of developmentally inappropriate symptoms: moderate to severe distractibility, short attention span, hyperactivity, emotional lability, and impulsivity. The diagnosis of the syndrome should not be made with finality when these symptoms are only of comparatively recent origin. Nonlocalizing (soft) neurological signs, learning disability, and abnormal EEG may or may not be present, and a diagnosis of central nervous system dysfunction may or not be warranted."
Methylphenidate,ADHD,"{'hyperactivity', 'distractibility', 'emotional lability', 'short attention span', 'impulsivity'}",,,,"Methylphenidate Hydrochloride is indicated as an integral part of a total treatment program which typically includes other remedial measures (psychological, educational, social) for a stabilizing effect in children with a behavioral syndrome characterized by the following group of developmentally inappropriate symptoms: moderate-to-severe distractibility, short attention span, hyperactivity, emotional lability, and impulsivity"
Methylphenidate,Narcolepsy,,,,,"Indications and Usage: Attention Deficit Disorders, Narcolepsy"
Lamotrigine,Epilepsy,"{'primary generalized tonic-clonic (PGTC) seizures', 'Lennox-Gastaut Syndrome', 'Partial-onset seizures'}",,,2,Lamotrigine tablets are indicated as adjunctive therapy for the following seizure types in patients aged 2 years and older
Lamotrigine,Partial-onset seizures,,,,16,"Lamotrigine tablets are indicated for conversion to monotherapy in adults (aged 16 years and older) with partial-onset seizures who are receiving treatment with carbamazepine, phenytoin, phenobarbital, primidone, or valproate as the single antiepileptic drug (AED)."
Lamotrigine,Bipolar I Disorder,"{'Mixed Episode', 'Manic Episode', 'hypomanic episode', 'depressive episode'}",,,,"Lamotrigine tablets are indicated for the maintenance treatment of bipolar I disorder to delay the time to occurrence of mood episodes (depression, mania, hypomania, mixed episodes) in patients treated for acute mood episodes with standard therapy"
Topiramate,Epilepsy,"{'primary generalized tonic-clonic (PGTC) seizures', 'Partial-onset seizures'}",,,2,Topiramate tablets and topiramate capsules are indicated as initial monotherapy for the treatment of partial-onset or primary generalized tonic-clonic seizures in patients 2 years of age and older
Gabapentin,Epilepsy,,,,"{'2020-03-12T00:00:00', '12'}","Gabapentin capsules, USP are indicated as adjunctive therapy in the treatment of partial seizures with and without secondary generalization in patients over 12 years of age with epilepsy. Gabapentin capsules, USP are also indicated as adjunctive therapy in the treatment of partial seizures in pediatric patients age 3 to 12 years."
Topiramate,"{'Epilepsy', 'Lennox-Gastaut Syndrome'}","{'primary generalized tonic-clonic (PGTC) seizures', 'seizures', 'Partial-onset seizures'}",,,2,"Topiramate tablets and topiramate capsules are indicated as adjunctive therapy for for the treatment of partial-onset seizures, primary generalized tonic-clonic seizures, and seizures associated with Lennox-Gastaut syndrome in patients 2 years of age and older"
Topiramate,Migraine,,,,12,Topiramate tablets and topiramate capsules are indicated for the preventive treatment of migraine in patients 12 years of age and older
Quetiapine Fumarate,Schizophrenia,,,,,Quetiapine tablets are indicated for the treatment of schizophrenia
Quetiapine Fumarate,Bipolar I Disorder,Manic Episode,"{'Divalproex', 'Lithium'}",,,"Quetiapine tablets are indicated for the acute treatment of manic episodes associated with bipolar I disorder, both as monotherapy and as an adjunct to lithium or divalproex"
Quetiapine Fumarate,Bipolar I Disorder,depressive episode,,,,Quetiapine tablets are indicated as monotherapy for the acute treatment of depressive episodes associated with bipolar disorder.
Alprazolam,Panic Disorder,,,,,"Alprazolam extended-release tablets are indicated for the treatment of panic disorder, with or without agoraphobia."
Tizanidine,spasticity,,,,,Tizanidine hydrochloride capsules are central alpha-2-adrenergic agonist indicated for the management of spasticity
Ibuprofen,Pain,"{'minor arthritis pain', 'menstrual cramps', 'toothache', 'fever', 'backache', 'headache', 'muscular ache'}",,,,"Uses: temporarily reduces pains and aches due to headache, toothache, backache, menstrual cramps, the common cold, muscular aches, minor pains of arthritis, temporarily reduces fever"
Levetiracetam,Epilepsy,Partial-onset seizures,,,16,Levetiracetam in Sodium Chloride Injection is indicated as adjunctive therapy in thetreatment of partial onset seizures in adults with epilepsy.
Tolcapone,idiopathic Parkinson's disease,,levodopa/carbidopa,,,"Tolcapone tablets, USP is indicated as an adjunct to levodopa and carbidopa for the treatment of the signs and symptoms of idiopathic Parkinson's disease"
Levetiracetam,juvenile myoclonic epilepsy,myoclonic seizures,,,16,Levetiracetam in Sodium Chloride Injection is indicated as adjunctive therapy in the treatment of myoclonic seizures in adults with juvenile myoclonic epilepsy.
Levetiracetam,idiopathic generalized epilepsy,primary generalized tonic-clonic (PGTC) seizures,,,16,Levetiracetam in Sodium Chloride Injection is indicated as adjunctive therapy in the treatment of primary generalized tonic-clonic seizures in adults with idiopathic generalized epilepsy.
Divalproex,Epilepsy,complex partial seizures,,,10,Divalproex sodium delayed-release capsules are indicated as monotherapy and adjunctive therapy in the treatment of adult patients and pediatric patients down to the age of 10 years with complex partial seizures that occur either in isolation or in association with other types of seizures.
Naproxen,Pain,"{'menstrual cramps', 'arthritic pain', 'toothache', 'fever', 'muscular aches', 'backache', 'headache'}",,,,"Uses - temporarily relieves minor aches and pains due to: minor pain of arthritis, backache, headache, muscular aches, menstrual cramps, toothache, common cold, temporarily reduces fever"
baclofen,Multiple Sclerosis,"{'Pain', 'flexor spasm', 'clonus', 'spasticity', 'muscular rigidity'}",,,,"Baclofen is useful for the alleviation of signs and symptoms of spasticity resulting from multiple sclerosis, particularly for the relief of flexor spasms and concomitant pain, clonus, and muscular rigidity."
Diclofenac,Pain,"{'mild pain', 'moderate pain'}",,,,Diclofenac potassium tablets are indicated:For relief of mild to moderate pain
baclofen,spinal cord injury,,,,,Baclofen may also be of some value in patients with spinal cord injuries and other spinal cord diseases.
Mirtazapine,Major Depressive Disorder,,,,,"Mirtazapine tablets, USP are indicated for the treatment of major depressive disorder."
Hydrocodone,Pain,severe pain,,,,"Hydrocodone Bitartrate Extended-Release Capsules are indicated for the management of pain severe enough to require daily, around-the-clock, long-term opioid treatment and for which alternative treatment options are inadequate."
almotriptan,Migraine,migraine duration >4h,,,,Almotriptan tablets (almotriptan malate) are indicated for the acute treatment of migraine attacks in patients with a history of migraine with or without aura
Carisoprodol,musculoskeletal conditions,discomfort,,,adults,"Carisoprodol Tablets are indicated for the relief of discomfort associated with acute, painful musculoskeletal conditions in adults."
Ropinirole Hydrochloride,Parkinson's Disease,,,,,Ropinirole tablets are indicated for the treatment of Parkinson’s disease
Ropinirole Hydrochloride,Restless Leg Syndrome,,,,,Ropinirole tablets are indicated for the treatment of moderate-to-severe primary Restless Legs Syndrome (RLS).
Methocarbamol,musclusoskeletal conditions,"{'discomfort', 'Pain'}",,,,"Methocarbamol tablets, USP are indicated as an adjunct to rest, physical therapy, and other measures for the relief of discomfort associated with acute, painful musculoskeletal conditions."
Oxcarbazepine,Partial-onset seizures,,,,"{'4', '2'}","Oxcarbazepine oral suspension is indicated for use as monotherapy or adjunctive therapy in the treatment of partial-onset seizures in adults and as monotherapy in the treatment of partial-onset seizures in pediatric patients aged 4 years and above, and as adjunctive therapy in pediatric patients aged 2 years and above with partial-onset seizures."
Pramipexole Dihydrochloride,Parkinson's Disease,,,,,Pramipexole dihydrochloride tablets are indicated for the treatment of Parkinson’s disease.
Pramipexole Dihydrochloride,Restless Leg Syndrome,,,,,Pramipexole dihydrochloride tablets are indicated for the treatment of moderate-to-severe primary Restless Legs Syndrome (RLS).
Atomoxetine,ADHD,,,,,Atomoxetine capsules are indicated for the treatment of Attention-Deficit/Hyperactivity Disorder (ADHD).
ziconotide,chronic pain,,,,adults,"PRIALT (ziconotide) solution, intrathecal infusion is indicated for the management of severe chronic pain in adult patients for whom intrathecal therapy is warranted, and who are intolerant of or refractory to other treatment, such as systemic analgesics, adjunctive therapies, or intrathecal morphine"
Lisdexamfetamine,ADHD,,,,,Vyvanse® is indicated for the treatment of Attention Deficit Hyperactivity Disorder (ADHD).
Acetylsalicylic acid,Pain,,,,,As an antiaggregant in antiplatelet therapy or for temporary relief of minor aches and pains.
Trihexyphenidyl,Parkinson's Disease,,levodopa,,,"Trihexyphenidyl is indicated as an adjunct in the treatment of all forms of parkinsonism (postencephalitic, arteriosclerotic, and idiopathic). It is often useful as adjuvant therapy when treating these forms of parkinsonism with levodopa."
Trihexyphenidyl,drug-induced extrapyramidal disorders,,,,,"Additionally, it is indicated for the control of extrapyramidal disorders caused by central nervous system drugs such as the dibenzoxazepines, phenothiazines, thioxanthenes, and butyrophenones."
Dextroamphetamine,"{'ADHD', 'Narcolepsy'}",,,,2020-03-16T00:00:00,"Dextroamphetamine sulfate tablets are indicated in: Narcolepsy and Attention Deficit Disorder with Hyperactivity: As an integral part of a total treatment program that typically includes other remedial measures (psychological, educational, social) for a stabilizing effect in pediatric patients (ages 3 years to 16 years)"
Morphine,Pain,severe pain,,"{'terminal cancer', 'severe injuries', 'myocardial infarction'}",,Morphine sulfate is indicated for the relief of severe pain
Pyridostigmine,Myasthenia Gravis,,,,,"Pyridostigmine Bromide Oral Solution, USP is useful in the treatment of myasthenia gravis."
Buprenorphine,Opioid Dependence,,,,,Buprenorphine Sublingual Tablets are indicated for the treatment of opioid dependence and are preferred for induction
Naltrexone,Alcohol Dependence,,,,,Naltrexone hydrochloride tablets USP 50 mg is indicated in the treatment of alcohol dependence
Bromocriptine,Parkinson's Disease,"{""idiopathic Parkinson's disease"", ""postencephalitic Parkinson's disease""}",levodopa,,adults,"Bromocriptine mesylate tablets are indicated in the treatment of the signs and symptoms of idiopathic or postencephalitic Parkinson's disease. As adjunctive treatment to levodopa (alone or with a peripheral decarboxylase inhibitor), bromocriptine mesylate therapy may provide additional therapeutic benefits in those patients who are currently maintained on optimal dosages of levodopa, those who are beginning to deteriorate (develop tolerance) to levodopa therapy, and those who are experiencing end of dose failure on levodopa therapy."
Edaravone,amyotrophic lateral sclerosis (ALS),,,,,RADICAVA is indicated for the treatment of amyotrophic lateral sclerosis (ALS).
Tetrabenazine,Huntington's Disease,chorea,,,,Tetrabenazine tablets are indicated for the treatment of chorea associated with Huntington's disease.
Riluzole,amyotrophic lateral sclerosis (ALS),,,,,Riluzole is indicated for the treatment of amyotrophic lateral sclerosis(ALS).
Amifampridine,Lambert-Eaton myasthenic syndrome (LEMS),,,,2020-06-16T00:00:00,RUZURGI is indicated for the treatment of Lambert-Eaton myasthenic syndrome (LEMS) in patients 6 to less than 17 years of age.
Benzocaine,Pain,"{'minor cuts and scrapes', 'itching', 'minor burns and skin irritations'}",,,12,"USES: For the temporary relief of discomfort and pain associated with - minor burns and skin irritations, minor cuts and scrapes, itching"
Cevimeline,Sjögren’s Syndrome,dry mouth,,,,Cevimeline hydrochloride capsules are indicated for the treatment of symptoms of dry mouth in patients with Sjögren’s Syndrome.
Acetaminophen,"{'Pain', 'fever'}","{'menstrual cramps', 'common cold', 'toothache', 'muscular aches', 'backache', 'headache'}",,,,temporarily relieves minor aches and pains due to:•the common cold•headache•backache•minor pain of arthritis•toothache•muscular aches•premenstrual and menstrual cramps•temporarily reduces fever
Temazepam,Insomnia,,,,,Temazepam is indicated for the short-term treatment of insomnia (generally 7 to 10 days).
Diazepam,"{'reflex spasms', 'Athetosis', 'Cerebral Palsy', 'Tetanus', 'Stiff Man Syndrome', 'Paraplegia'}","{'spasticity', 'skeletal muscle spasms'}",,,,"Diazepam is a useful adjunct for the relief of skeletal muscle spasm due to reflex spasm to local pathology (such as inflammation of the muscles or joints, or secondary to trauma), spasticity caused by upper motor neuron disorders (such as cerebral palsy and paraplegia); athetosis; stiff man syndrome; and tetanus."
Lorazepam,Status Epilepticus,,,,,Lorazepam injection is indicated for the treatment of status epilepticus.
Lorazepam,Anxiety,,,,,"Lorazepam injection is indicated in adult patients for preanesthetic medication, producing sedation (sleepiness or drowsiness), relief of anxiety, and a decreased ability to recall events related to the day of surgery. It is most useful in those patients who are anxious about their surgical procedure and who would prefer to have diminished recall of the events of the day of surgery"
amantidine,Parkinson's Disease,"{""idiopathic Parkinson's disease"", 'drug-induced extrapyramidal disorders', 'postencephalitic parkinsonsim', 'symptomatic parkinsonism'}",,Cerebral Atherosclerosis,,Amantadine hydrochloride capsules are also indicated in the treatment of parkinsonism and drug-induced extrapyramidal reactions.
Fentanyl,breakthrough pain,,,cancer,18,"ABSTRAL® is indicated for the management of breakthrough pain in cancer patients 18 years of age and older who are already receiving, and who are tolerant to, around-the-clock opioid therapy for their underlying persistent cancer pain."
Diazepam,Anxiety,Anxiety,,,,Diazepam is indicated for the management of anxiety disorders for the short-term relief of the symptoms of anxiety. Anxiety or tension associated with the stress of everyday life usually does not require treatment with an anxiolytic.
Diazepam,Status Epilepticus,,,,,Diazepam injection is a useful adjunct in status epilepticus and severe recurrent convulsive seizures.
Iloperidone,Schizophrenia,,,,,Iloperidone tablets are indicated for the treatment of schizophrenia in adults.
Aripiprazole,Schizophrenia,,,,,Aripiprazole oral solution is indicated for the treatment of: Schizophrenia
Aripiprazole,Bipolar I Disorder,"{'Mixed Episode', 'Manic Episode'}",,,,Aripiprazole oral solution is indicated for the treatment of: acute Treatment of Manic and Mixed Episodes associated with Bipolar I Disorder
Aripiprazole,Major Depressive Disorder,,,,,Aripiprazole oral solution is indicated for the treatment of: Adjunctive Treatment of Major Depressive Disorder
Aripiprazole,Autistic Disorder,Irritability,,,,Aripiprazole oral solution is indicated for the treatment of: Irritability Associated with Autistic Disorder
Felbamate,Epilepsy,Partial-onset seizures,,,adults,Felbamate oral suspension is recommended for use only in those patients who respond inadequately to alternative treatments and whose epilepsy is so severe that a substantial risk of aplastic anemia and/or liver failure is deemed acceptable in light of the benefits conferred by its use
Vigabatrin,complex partial seizures,,,,2,Vigabatrin for oral solution is indicated as adjunctive therapy for adults and pediatric patients 2 years of age and older with refractory complex partial seizures who have inadequately responded to several alternative treatments and for whom the potential benefits outweigh the risk of vision loss
Selegiline,Parkinson's Disease,,levodopa/carbidopa,,,"Selegiline capsules, USP are indicated as an adjunct in the management of Parkinsonian patients being treated with levodopa/carbidopa who exhibit deterioration in the quality of their response to this therapy."
Vigabatrin,Infantile Spasms,,,,1Month - 2Years,Vigabatrin for oral solution is indicated as monotherapy for pediatric patients with infantile spasms 1 month to 2 years of age for whom the potential benefits outweigh the potential risk of vision loss
Phenytoin,Epilepsy,"{'primary generalized tonic-clonic (PGTC) seizures', 'psychomotor seizures'}",,,,Extended phenytoin sodium capsules are indicated for the treatment of tonic-clonic (grand mal) and psychomotor (temporal lobe) seizures and prevention and treatment of seizures occurring during or following neurosurgery
Fosphenytoin,Epilepsy,"{'generalized tonic-clonic status epilepticus', 'seizures'}",,,,Fosphenytoin sodium injection is indicated for the treatment of generalized tonic-clonic status epilepticus and prevention and treatment of seizures occurring during neurosurgery.
Risperidone,Schizophrenia,,,,"{'13-17 ', '18'}",Risperidone tablets are indicated for the acute and maintenance treatment of schizophrenia
Risperidone,Bipolar I Disorder,"{'Mixed Episode', 'Manic Episode'}",,,"{'2020-10-17T00:00:00', 'adults'}","Due to Janssen Pharmaceuticals Corporation’s marketing exclusivity rights, this drug product is not labeled for use in pediatric patients with bipolar mania. Pediatric use information for the treatment of pediatric patients with bipolar mania, 10 to 17 years of age, is approved for Janssen Pharmaceuticals Corporation’s risperidone drug products."
Risperidone,Bipolar I Disorder,"{'Mixed Episode', 'Manic Episode'}","{'Divalproex', 'Lithium'}",,adults,Combination Therapy - Adults: The combination of risperidone with lithium or valproate is indicated for the short-term treatment of acute manic or mixed episodes associated with Bipolar I Disorder
Risperidone,Autistic Disorder,Irritability,,,2020-05-16T00:00:00,"Risperidone tablets are indicated for the treatment of irritability associated with autistic disorder in children and adolescents aged 5-16 years, including symptoms of aggression towards others, deliberate self-injuriousness, temper tantrums, and quickly changing moods"
opicapone,Parkinson's Disease,off_episodes,"{'carbidopa', 'levodopa'}",,,ONGENTYS is indicated as adjunctive treatment to levodopa/carbidopa in patients with Parkinson’s disease (PD) experiencing “off” episodes
Entacapone,Parkinson's Disease,End-of-dose wearing-off,"{'carbidopa', 'levodopa'}",,,Entacapone tablets are indicated as an adjunct to levodopa and carbidopa to treat end-of-dose “wearing-off” in patients with Parkinson’s disease
Imipramine,Major Depressive Disorder,Endogeneous depression,,,,For the relief of symptoms of depression. Endogenous depression is more likely to be alleviated than other depressive states
Sertraline,Major Depressive Disorder,,,,adults,"Sertraline Tablets, USP are indicated for the treatment of major depressive disorder in adults."
Sertraline,Obsessive Compulsive Disoder,"{'compulsions', 'obsessions'}",,,,"Sertraline tablets are indicated for the treatment of obsessions and compulsions in patients with obsessive-compulsive disorder (OCD), as defined in the DSM-III-R; i.e., the obsessions or compulsions cause marked distress, are time-consuming, or significantly interfere with social or occupational functioning."
Sertraline,Panic Disorder,,,,adults,"Sertraline tablets are indicated for the treatment of panic disorder in adults, with or without agoraphobia, as defined in DSM-IV."
Sertraline,Post-traumatic Stress Disorder,,,,adults,Sertraline is indicated for the treatment of posttraumatic stress disorder in adults.
Sertraline,Social Anxiety Disorder ,,,,adults,"Sertraline tablets are indicated for the treatment of social anxiety disorder, also known as social phobia in adults."
fluoxetine,Major Depressive Disorder,,,,"{'2020-08-18T00:00:00', 'adults'}",Fluoxetine is indicated for the acute and maintenance treatment of Major Depressive Disorder in adult patients and in pediatric patients aged 8 to18 years
fluoxetine,Obsessive Compulsive Disoder,"{'compulsions', 'obsessions'}",,,"{'2020-07-17T00:00:00', 'adults'}",Fluoxetine is indicated for the acute and maintenance treatment of obsessions and compulsions in adult patients and in pediatric patients aged 7 to 17 years with Obsessive Compulsive Disorder (OCD)
fluoxetine,Bulimia Nervosa ,"{'binge-eating ', 'vomiting '}",,,adults,Fluoxetine is indicated for the acute and maintenance treatment of binge-eating and vomiting behaviors in adult patients with moderate to severe Bulimia Nervosa
fluoxetine,Panic Disorder,,,,adults,"Fluoxetine is indicated for the acute treatment of Panic Disorder, with or without agoraphobia, in adult patients"
Xyrem/sodium oxybate,Narcolepsy,"{'cataplexy', 'excessive daytime sleepiness'}",,,7,Xyrem is indicated for the treatment of cataplexy or excessive daytime sleepiness (EDS) in patients 7 years of age and older with narcolepsy.
fluoxetine,Bipolar I Disorder,depressive episode,olanzapine ,,adults,Fluoxetine and olanzapine in combination is indicated for the acute treatment of depressive episodes associated with Bipolar I Disorder in adult patients.
Orphenadrine,musculo-skeletal conditions,"{'discomfort', 'Pain'}",,,,"Orphenadrine citrate is indicated as an adjunct to rest, physical therapy, and other measures for the relief of discomfort associated with acute, painful musculo-skeletal conditions."
Ramelteon,Insomnia,sleep-onset problems,,,,Ramelteon tablets are indicated for the treatment of insomnia characterized by difficulty with sleep onset.
Frovatriptan,Migraine,,,,adults,Frovatriptan succinate tablets are indicated for the acute treatment of migraine with or without aura in adults.
Sumatriptan,Migraine,,,,adults,Sumatriptan tablets are indicated for the acute treatment of migraine with or without aura in adults.
Isocarboxazid,Major Depressive Disorder,,,,,"Marplan is indicated for the treatment of depression. Because of its potentially serious side effects, Marplan is not an antidepressant of first choice in the treatment of newly diagnosed depressed patient"
Pimozide,Tourette's Disorder,"{'phonic tics', 'motor tics'}",,,,"Pimozide Tablets, USP is indicated for the suppression of motor and phonic tics in patients with Tourette’s Disorder who have failed to respond satisfactorily to standard treatment."
Thiothixene,Schizophrenia,,,,,Thiothixene capsules are effective in the management of schizophrenia.
Lurasidone,Schizophrenia,,,,13-17,Treatment of adult and adolescent patients (13 to 17 years) with schizophrenia
Lurasidone,Bipolar I Disorder,Major Depressive episode,,,10,Monotherapy treatment of adult and pediatric patients (10 to 17 years) with major depressive episode associated with bipolar I disorder (bipolar depression)
Clozapine,Schizoaffective Disorder,suicidal behavior,,,,"Clozapine is indicated for reducing the risk of recurrent suicidal behavior in patients with schizophrenia or schizoaffective disorder who are judged to be at chronic risk for re-experiencing suicidal behavior, based on history and recent clinical state"
Lurasidone,Bipolar I Disorder,Major Depressive episode,"{'Lithium', 'Divalproex'}",,adults,Adjunctive treatment with lithium or valproate in adult patients with major depressive episode associated with bipolar I disorder (bipolar depression)
Duloxetine,"{'Generalized Anxiety Disorder', 'Diabetic Peripheral Neuropathy ', 'Fibromyalgia', 'Major Depressive Disorder'}",,,,,"Duloxetine delayed-release capsules are indicated for the treatment of: Major Depressive Disorder, Generalized Anxiety Disorder, Diabetic Peripheral Neuropathy, Fibromyalgia, Chronic Muscoskeletal Pain"
Protriptyline,mental depression,"{'withdrawal', 'anergetic'}",,,,Protriptyline hydrochloride is indicated for the treatment of symptoms of mental depression in patients who are under close medical supervision.
Bupropion,Major Depressive Disorder,,,,,"Bupropion hydrochloride extended-release tablets (XL) are indicated for the treatment of major depressive disorder (MDD), as defined by the Diagnostic and Statistical Manual (DSM)."
Bupropion,Seasonal Affective Disorder,seasonal major depressive episodes,,,,Bupropion hydrochloride extended-release tablets (XL) are indicated for the prevention of seasonal major depressive episodes in patients with a diagnosis of seasonal affective disorder (SAD).
Amitriptyline,"{'Endogeneous depression', 'Major Depressive Disorder'}",,,,,Endogenous depression is more likely to be alleviated than are other depressive states.
Trimipramine,"{'Endogeneous depression', 'Major Depressive Disorder'}",,,,,Endogenous depression is more likely to be alleviated than other depressive states.
Clobazam,Lennox-Gastaut Syndrome,seizures,,,2,Clobazam tablet is indicated for the adjunctive treatment of seizures associated with Lennox-Gastaut syndrome (LGS) in patients 2 years of age or older.
Perphenazine,Schizophrenia,,,,,Perphenazine is indicated for use in the treatment of schizophrenia and for the control of severe nausea and vomiting in adults.
Diazepam,Alcohol Withdrawal,"{'hallucinosis', 'delirium tremens', 'tremor', 'acute agitation'}",,,,"In acute alcohol withdrawal, diazepam may be useful in the symptomatic relief of acute agitation, tremor, impending or acute delirium tremens and hallucinosis."
Fluphanzine,Schizophrenia,,,,,"Fluphenazine Decanoate Injection, USP is a long-acting parenteral antipsychotic drug intended for use in the management of patients requiring prolonged parenteral neuroleptic therapy (e.g., chronic schizophrenics)."
Phenelzine,Major Depressive Disorder,"{'Anxiety', 'atypical depression', 'nonendogeneous depression', 'neurotic depression'}",,,,"Phenelzine Sulfate Tablets, USP has been found to be effective in depressed patients clinically characterized as atypical, nonendogenous,neurotic"
Milnacipran,Fibromyalgia,,,,adults,Milnacipran HCl tablets are indicated for the management of fibromyalgia.
Meprobamate,Anxiety,anxiety,,,,Meprobamate tablets are indicated for the management of anxiety disorders or for the short-term relief of the symptoms of anxiety. Anxiety or tension associated with the stress of everyday life usually do not require treatment with an anxiolytic.
Felbamate,Lennox-Gastaut Syndrome,"{'generalized seizures', 'Partial-onset seizures'}",,,children,"If these criteria are met and the patient has been fully advised of the risk, and has provided written acknowledgment, felbamate oral suspension can be considered for either monotherapy or adjunctive therapy in the treatment of partial seizures, with and without generalization, in adults with epilepsy and as adjunctive therapy in the treatment of partial and generalized seizures associated with Lennox-Gastaut syndrome in children"
Melatonin,"{'Seasonal Affective Disorder', 'Sleep Disorders', 'Major Depressive Disorder'}",,,,,"For temporary relief of symptoms related to sleep disorders, Seasonal Affective Disorder, jet lag, and depression."
galcanezumab,Episodic Cluster Headaches,,,,adults,EMGALITY is indicated for the treatment of episodic cluster headache in adults.
Eszopiclone,Insomnia,,,,,Eszopiclone Tablets are indicated for the treatment of insomnia.
Zolpidem,Insomnia,sleep initiation difficulty,,,,Zolpidem Tartrate Tablets is indicated for the short-term treatment of insomnia characterized by difficulties with sleep initiation
Quazepam,Insomnia,"{'early morning awakenings', 'frequent nocturnal awakening', 'sleep initiation difficulty'}",,,,"Quazepam is indicated for the treatment of insomnia characterized by difficulty in falling asleep, frequent nocturnal awakenings, and/or early morning awakenings."
combination84,Pain,,,,,Hydrocodone bitartrate and acetaminophen tablets are indicated for the management of moderate to moderately severe pain severe enough to require an opioid analgesic and for which alternative treatments are inadequate.
tramadol,Pain,,,,adults,Tramadol hydrochloride tablets are indicated for the management of moderate to moderately severe pain in adults
trazodone,Major Depressive Disorder,,,,adults,Trazodone hydrochloride tablets are indicated for the treatment of major depressive disorder (MDD) in adults
Citalopram,Major Depressive Disorder,,,,,Citalopram tablets are indicated for the treatment of depression
Paroxetine,Major Depressive Disorder,,,,,Paroxetine tablets are indicated for the treatment of major depressive disorder.
Paroxetine,Obsessive Compulsive Disoder,"{'compulsions', 'obsessions'}",,,,Paroxetine tablets are indicated for the treatment of obsessions and compulsions in patients with obsessive compulsive disorder (OCD) as defined in the DSM-IV.
galcanezumab,Migraine,,,,adults,EMGALITY is indicated for the preventive treatment of migraine in adults.
Paroxetine,Panic Disorder,,,,,"Paroxetine tablets are indicated for the treatment of panic disorder, with or without agoraphobia, as defined in DSM-IV"
Paroxetine,Social Anxiety Disorder ,,,,adults,"Paroxetine tablets are indicated for the treatment of social anxiety disorder, also known as social phobia, as defined in DSM-IV (300.23)."
Paroxetine,Generalized Anxiety Disorder,,,,adults,"Paroxetine tablets are indicated for the treatment of Generalized Anxiety Disorder (GAD), as defined in DSM-IV."
Paroxetine,Post-traumatic Stress Disorder,,,,adults,Paroxetine tablets are indicated for the treatment of Posttraumatic Stress Disorder (PTSD).
Escitalopram,Major Depressive Disorder,,,,2020-12-17T00:00:00,"Escitalopram oral solution, USP is indicated for the acute and maintenance treatment of major depressive disorder in adults and in adolescents 12 to 17 years of age"
Escitalopram,Generalized Anxiety Disorder,,,,adults,"Escitalopram oral solution, USP is indicated for the acute treatment of Generalized Anxiety Disorder (GAD) in adults"
Pregabalin,"{'Fibromyalgia', 'Partial-onset seizures', 'postherapetic neuralgia ', 'Neuropathic Pain '}","{'spinal cord injury ', 'Diabetic Peripheral Neuropathy '}",,,1 month,"Pregbalin is indicated for:Management of neuropathic pain associated with diabetic peripheral neuropathy, Management of postherpetic neuralgia, Adjunctive therapy for the treatment of partial-onset seizures in patients 1 month of age and older, Management of fibromyalgia, Management of neuropathic pain associated with spinal cord injury"
